id,Name,ID,ALIGN,EYE,HAIR,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
2421,Mister Z (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,9,"1991, January",1991
2422,Obeah Man (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,9,"1990, July",1990
2423,Thirst (New Earth),Secret Identity,Bad Characters,Black Eyes,Unknown or None,Living Characters,9,"2003, June",2003
2424,Alphonso Giovanni (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Deceased Characters,9,"1955, January",1955
2425,Muscles McGinnis (New Earth),Secret Identity,Good Characters,Black Eyes,Brown Hair,Living Characters,9,"1995, May",1995
2426,Ronald Houston (New Earth),Secret Identity,Good Characters,Black Eyes,Unknown or None,Deceased Characters,9,"1998, December",1998
2427,Cobi (New Earth),Unknown,Bad Characters,Black Eyes,Unknown or None,Living Characters,9,"2009, August",2009
2428,General Zahl (New Earth),Unknown,Bad Characters,Black Eyes,Unknown or None,Deceased Characters,9,"1968, October",1968
2429,Philomela (New Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,9,"2008, January",2008
2430,Myrto (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,9,"2008, January",2008
2431,Cassandra Arnold (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Deceased Characters,9,1992,1992
2432,Kulak (New Earth),Public Identity,Bad Characters,Blue Eyes,Unknown or None,Living Characters,9,"1940, September",1940
2433,Louis Snipe (New Earth),Public Identity,Bad Characters,Blue Eyes,Unknown or None,Deceased Characters,9,"1940, February",1940
2434,Maura Rayner (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,9,"1997, July",1997
2435,Mark Logan (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,9,"1967, June",1967
2436,Nicki Jones (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,9,"2006, November",2006
2437,Eve Doremus (Earth-One),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,9,"1968, January",1968
2438,Dwight Eisenhower (New Earth),Public Identity,Good Characters,Blue Eyes,Unknown or None,Living Characters,9,"1950, July",1950
2439,Jonathan Stone (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,9,"2005, August",2005
2440,Gayle Marsh (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,9,"1982, November",1982
2441,Preus (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,9,"2004, April",2004
2442,Ramsey Murdoch (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Living Characters,9,"1994, December",1994
2443,Sasha (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,9,"2009, August",2009
2444,Andrea Rojas (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,9,"2000, August",2000
2445,Tiamat (New Earth),Unknown,Bad Characters,Blue Eyes,Blond Hair,Living Characters,9,"1995, December",1995
2446,Daniel Geller (New Earth),Unknown,Bad Characters,Blue Eyes,Brown Hair,Deceased Characters,9,"1992, December",1992
2447,Farley Fleeter (New Earth),Unknown,Bad Characters,Blue Eyes,Brown Hair,Living Characters,9,"1967, October",1967
2448,Eleanor Shaw (New Earth),Unknown,Good Characters,Blue Eyes,Blond Hair,Living Characters,9,"1988, July",1988
2449,Ilya Trepliov (New Earth),Unknown,Good Characters,Blue Eyes,Brown Hair,Living Characters,9,"1988, April",1988
2450,Roger Huntoon (New Earth),Unknown,Good Characters,Blue Eyes,Brown Hair,Living Characters,9,"1987, November",1987
2451,Kazuo Hasegawa (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,9,"1988, August",1988
2452,Penthesilea (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,9,"1989, August",1989
2453,Officer Isabella (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,9,"2002, August",2002
2454,Dakota Jamison (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,9,"2001, May",2001
2455,Lin Koo Teng (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,9,"1989, December",1989
2456,Prince Garnet (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,9,"1985, April",1985
2457,Darwin Jones (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,9,"1950, September",1950
2458,Alia (New Earth),Public Identity,Good Characters,Brown Eyes,Red Hair,Living Characters,9,"1993, March",1993
2459,C.C. Haly (New Earth),Public Identity,Good Characters,Brown Eyes,White Hair,Deceased Characters,9,"1940, April",1940
2460,Chantinelle (New Earth),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,9,"1991, July",1991
2461,Nathaniel Dusk (New Earth),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,9,"1984, February",1984
2462,Pan (New Earth),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Deceased Characters,9,"1982, October",1982
2463,Rose Walker (New Earth),Public Identity,Unknown or None,Brown Eyes,Red Hair,Living Characters,9,"1989, November",1989
2464,Edwin Gauss (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,9,"1999, October",1999
2465,Kai (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,9,"1995, July",1995
2466,Raza Kattuah (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,9,"1987, May",1987
2467,Thomas Dillon (New Earth),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Deceased Characters,9,"1966, March",1966
2468,Mister Fun (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,9,"2002, December",2002
2469,Lucas Ludlow-Dalt (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,9,"1998, October",1998
2470,Jonathan Williams (New Earth),Secret Identity,Bad Characters,Brown Eyes,Unknown or None,Living Characters,9,"2003, October",2003
2471,Selma Tolon (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,9,"2000, August",2000
2472,Chaim Lavon (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,9,"1982, June",1982
2473,Johnny Riley (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,9,"2008, December",2008
2474,Athyns (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Blue Hair,Living Characters,9,"1989, January",1989
2475,Hops Jones (New Earth),Unknown,Good Characters,Brown Eyes,Black Hair,Living Characters,9,"2008, July",2008
2476,Sweeney (New Earth),Unknown,Good Characters,Brown Eyes,Black Hair,Living Characters,9,"2003, March",2003
2477,Willoughby Kipling (New Earth),Unknown,Good Characters,Brown Eyes,Black Hair,Living Characters,9,"1990, April",1990
2478,Roger Simmons (New Earth),Unknown,Good Characters,Brown Eyes,Black Hair,Deceased Characters,9,"1988, December",1988
2479,Lillian Worth (New Earth),Unknown,Neutral Characters,Brown Eyes,Black Hair,Deceased Characters,9,"1992, October",1992
2480,Carleton LeHah (New Earth),Public Identity,Bad Characters,Green Eyes,White Hair,Deceased Characters,9,"1992, October",1992
2481,Azraeuz (New Earth),Secret Identity,Unknown or None,Green Eyes,Unknown or None,Deceased Characters,9,"2007, January",2007
2482,Thessaly (New Earth),Secret Identity,Unknown or None,Green Eyes,Brown Hair,Living Characters,9,"1991, November",1991
2483,Tristessa Delicias (New Earth),Unknown,Bad Characters,Green Eyes,Black Hair,Living Characters,9,"2008, June",2008
2484,Claire Montgomery (New Earth),Unknown,Neutral Characters,Green Eyes,Red Hair,Living Characters,9,"1990, April",1990
2485,Igor Medviedenko (New Earth),Unknown,Good Characters,Grey Eyes,Blond Hair,Living Characters,9,"1988, April",1988
2486,Flicker (New Earth),Public Identity,Bad Characters,Red Eyes,Unknown or None,Living Characters,9,"1992, January",1992
2487,Cerberus II (New Earth),Public Identity,Bad Characters,Red Eyes,Unknown or None,Living Characters,9,"1991, July",1991
2488,Gorius Karkum (New Earth),Public Identity,Good Characters,Red Eyes,Unknown or None,Living Characters,9,"2010, July",2010
2489,Jaffar (New Earth),Unknown,Bad Characters,Red Eyes,Unknown or None,Deceased Characters,9,"1971, May",1971
2490,Trok (New Earth),Unknown,Bad Characters,Red Eyes,Unknown or None,Deceased Characters,9,"1971, May",1971
2491,Anthony Marchetti (New Earth),Public Identity,Bad Characters,Unknown or None,Black Hair,Living Characters,9,"2006, December",2006
2492,Victor Cypher (New Earth),Public Identity,Bad Characters,Unknown or None,Black Hair,Living Characters,9,"1990, May",1990
2493,Gillian B. Loeb (New Earth),Public Identity,Bad Characters,Unknown or None,Black Hair,Deceased Characters,9,"1987, February",1987
2494,Lord Aquamarine (New Earth),Public Identity,Bad Characters,Unknown or None,Black Hair,Deceased Characters,9,"1983, November",1983
2495,Oswald Bane (New Earth),Public Identity,Bad Characters,Unknown or None,Black Hair,Living Characters,9,"1955, September",1955
2496,Deacon Dickson (New Earth),Public Identity,Bad Characters,Unknown or None,Brown Hair,Living Characters,9,"1993, October",1993
2497,David Winters (New Earth),Public Identity,Bad Characters,Unknown or None,Brown Hair,Deceased Characters,9,"1988, October",1988
2498,Arthur Pemberton (New Earth),Public Identity,Bad Characters,Unknown or None,Grey Hair,Living Characters,9,"1978, February",1978
2499,Rigoro Mortis (New Earth),Public Identity,Bad Characters,Unknown or None,Grey Hair,Living Characters,9,"1967, March",1967
2500,Genocide (New Earth),Public Identity,Bad Characters,Unknown or None,Red Hair,Deceased Characters,9,"2009, January",2009
2501,Arvin Halliday (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,9,"2010, January",2010
2502,Deathstorm (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,9,"2010, November",2010
2503,Ishmael Gregor (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,9,"2004, March",2004
2504,Klo (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,9,"1996, September",1996
2505,Theseus (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,9,"1962, December",1962
2506,Oliver Evans (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,9,"2002, May",2002
2507,Thayer Jost (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,9,"2001, December",2001
2508,Bouncer (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,9,"1996, September",1996
2509,Julia Frostick (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,9,"1996, September",1996
2510,Esther Maris (New Earth),Public Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,9,"2005, May",2005
2511,Sharon Tracy (New Earth),Public Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,9,"1969, August",1969
2512,Martin Garibaldi (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,9,"2003, October",2003
2513,Callie Evans (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,9,"1995, December",1995
2514,Nadine Terrill (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,9,"1994, September",1994
2515,Gary Sellers (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,9,"1985, July",1985
2516,Jeffrey Sloane (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,9,"1971, December",1971
2517,Marie Logan (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Deceased Characters,9,"1967, June",1967
2518,Maire Granger (New Earth),Public Identity,Good Characters,Unknown or None,Grey Hair,Living Characters,9,"1989, February",1989
2519,Threllian (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Deceased Characters,9,"1993, August",1993
2520,Diade (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,9,"1989, June",1989
2521,Flodo Span (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Deceased Characters,9,"1987, October",1987
2522,Calculha (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Deceased Characters,9,"1986, February",1986
2523,Sonny Sumo (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,9,"1971, September",1971
2524,Dexter Fairfax (New Earth),Public Identity,Good Characters,Unknown or None,White Hair,Living Characters,9,"1989, January",1989
2525,Bethany Lee (New Earth),Public Identity,Neutral Characters,Unknown or None,Black Hair,Living Characters,9,"1999, April",1999
2526,Joseph Mason (New Earth),Public Identity,Neutral Characters,Unknown or None,Black Hair,Living Characters,9,"1990, February",1990
2527,Marla Elliot (New Earth),Public Identity,Neutral Characters,Unknown or None,Red Hair,Living Characters,9,"2008, September",2008
2528,Philip Curry (New Earth),Public Identity,Unknown or None,Unknown or None,Unknown or None,Living Characters,9,"2006, May",2006
2529,Nathaniel Kent (New Earth),Public Identity,Unknown or None,Unknown or None,Unknown or None,Living Characters,9,"1997, August",1997
2530,Yoof (New Earth),Public Identity,Unknown or None,Unknown or None,Unknown or None,Living Characters,9,"1997, September",1997
2531,Dardan (New Earth),Public Identity,Unknown or None,Unknown or None,Unknown or None,Living Characters,9,"1995, August",1995
2532,"Atlas, Titans of Myth (New Earth)",Public Identity,Unknown or None,Unknown or None,Unknown or None,Living Characters,9,"1944, May",1944
2533,Daphne Dean (New Earth),Public Identity,Unknown or None,Unknown or None,Red Hair,Living Characters,9,"1962, February",1962
2534,Taro Raiden (New Earth),Secret Identity,Bad Characters,Unknown or None,Black Hair,Deceased Characters,9,"1986, November",1986
2535,Bud and Lou the Hyenas (New Earth),Secret Identity,Bad Characters,Unknown or None,Brown Hair,Deceased Characters,9,"2001, March",2001
2536,Iron Cross (New Earth),Secret Identity,Bad Characters,Unknown or None,Brown Hair,Deceased Characters,9,"1994, March",1994
2537,Kritter (New Earth),Secret Identity,Bad Characters,Unknown or None,Brown Hair,Living Characters,9,"1985, August",1985
2538,Celia Kazantkakis (New Earth),Secret Identity,Bad Characters,Unknown or None,Grey Hair,Living Characters,9,"2002, December",2002
2539,Detonator (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,9,"2008, January",2008
2540,Freeway (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,9,"2002, November",2002
2541,Peter Mortimer (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,9,"1968, February",1968
2542,Gunther Hardwicke (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,9,"1958, March",1958
2543,Warren Lawford (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,9,"1958, March",1958
2544,Ulla Paske (New Earth),Secret Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,9,"1982, June",1982
2545,Sindella Zatara (New Earth),Secret Identity,Good Characters,Unknown or None,Blond Hair,Deceased Characters,9,"1979, February",1979
2546,Colin Wilkes (New Earth),Secret Identity,Good Characters,Unknown or None,Red Hair,Living Characters,9,"2008, October",2008
2547,Matthew Shrieve (New Earth),Secret Identity,Good Characters,Unknown or None,Red Hair,Living Characters,9,"1980, November",1980
2548,Comet (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,9,"2010, March",2010
2549,Crimson Fox III (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,9,"2006, June",2006
2550,Manticore IV (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,9,"2006, May",2006
2551,Sandstorm (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Deceased Characters,9,"2006, September",2006
2552,Amnon Silverstein (Dakotaverse),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,9,"1994, January",1994
2553,Stuart Mosely (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,9,"1992, September",1992
2554,Damper (New Earth),Secret Identity,Unknown or None,Unknown or None,Brown Hair,Living Characters,9,"2006, June",2006
2555,Edward Bentama (New Earth),Unknown,Bad Characters,Unknown or None,Black Hair,Deceased Characters,9,"1986, January",1986
2556,Xavier Dylan (New Earth),Unknown,Bad Characters,Unknown or None,Blond Hair,Deceased Characters,9,"2002, May",2002
2557,Grace Kasaba (New Earth),Unknown,Bad Characters,Unknown or None,Brown Hair,Living Characters,9,"1988, May",1988
2558,Wyld (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Living Characters,9,"2009, November",2009
2559,Ausiin Snow (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Living Characters,9,"2008, February",2008
2560,Devil Dog (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Living Characters,9,"2008, September",2008
2561,Kretch (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Living Characters,9,"2007, August",2007
2562,Angon (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,9,"1993, August",1993
2563,Gemir (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,9,"1993, August",1993
2564,Glonth (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,9,"1993, August",1993
2565,Pritor (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,9,"1993, August",1993
2566,Buck Samson (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Living Characters,9,"1992, July",1992
2567,Clawster (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Living Characters,9,"1992, November",1992
2568,Armand Lydecker (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Living Characters,9,"1958, March",1958
2569,Ilsa von Hammer (New Earth),Unknown,Good Characters,Unknown or None,Blond Hair,Living Characters,9,"2005, July",2005
2570,Catholic Girl (Dakotaverse),Unknown,Good Characters,Unknown or None,Blond Hair,Living Characters,9,"1994, June",1994
2571,Michael Costner (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,9,"2006, September",2006
2572,Ronald Probson (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Deceased Characters,9,"2003, February",2003
2573,Dervish (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,9,"1994, March",1994
2574,Steve Claiborne (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,9,"1988, September",1988
2575,James Carter (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,9,"1977, September",1977
2576,Genevieve Campbell (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Living Characters,9,"2008, September",2008
2577,Tanakata Z (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Deceased Characters,9,"2006, September",2006
2578,Nathan Patton (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Deceased Characters,9,"2003, February",2003
2579,Gaius (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Living Characters,9,"1993, August",1993
2580,Duke Donald (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Living Characters,9,"1992, October",1992
2581,Moyshe Nakhman (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Living Characters,9,"1990, September",1990
2582,Brokk (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Living Characters,9,"1981, May",1981
2583,Aton (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Living Characters,9,"1978, May",1978
2584,Amos Monroe (New Earth),Unknown,Good Characters,Unknown or None,White Hair,Living Characters,9,"1989, January",1989
2585,Harry S. Truman (New Earth),Unknown,Good Characters,Unknown or None,White Hair,Living Characters,9,1984,1984
2586,Victor Lanza (New Earth),Unknown,Good Characters,Unknown or None,White Hair,Deceased Characters,9,"1971, March",1971
2587,William Gunn (New Earth),Unknown,Good Characters,Unknown or None,White Hair,Deceased Characters,9,"1941, December",1941
2588,Arin Sur (New Earth),Unknown,Neutral Characters,Unknown or None,Black Hair,Living Characters,9,"2009, October",2009
2589,Jeremy Jape (New Earth),Unknown,Neutral Characters,Unknown or None,Blond Hair,Living Characters,9,"2008, July",2008
2590,Mack Harlin (New Earth),Unknown,Neutral Characters,Unknown or None,Unknown or None,Living Characters,9,"1995, January",1995
2591,Duma (New Earth),Unknown,Unknown or None,Unknown or None,Unknown or None,Living Characters,9,"1991, March",1991
2592,Remiel (New Earth),Unknown,Unknown or None,Unknown or None,Unknown or None,Living Characters,9,"1991, March",1991
2593,Arizona (New Earth),Unknown,Unknown or None,Unknown or None,Blond Hair,Living Characters,9,"1991, March",1991
2594,Boleslaw Uminski (New Earth),Unknown,Unknown or None,Unknown or None,Blond Hair,Living Characters,9,"1987, December",1987
2595,Rachel Dodds (New Earth),Unknown,Unknown or None,Unknown or None,Brown Hair,Living Characters,9,"2007, December",2007
2596,Lady Amethyst (New Earth),Public Identity,Good Characters,Violet Eyes,Blond Hair,Deceased Characters,9,"1983, May",1983
2597,Trinity (Virus) (New Earth),Public Identity,Bad Characters,White Eyes,Unknown or None,Living Characters,9,1990,1990
2598,Sun King (New Earth),Secret Identity,Bad Characters,White Eyes,Unknown or None,Deceased Characters,9,"2006, August",2006
2599,Micah Flint (New Earth),Secret Identity,Bad Characters,White Eyes,Unknown or None,Living Characters,9,"1997, March",1997
2600,Red Volcano (New Earth),Secret Identity,Bad Characters,Yellow Eyes,Unknown or None,Living Characters,9,"2008, June",2008
2601,Hiro Okamura (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Living Characters,8,"2002, February",2002
2602,Starka\u00f0r (New Earth),Public Identity,Good Characters,Black Eyes,Unknown or None,Deceased Characters,8,"1999, September",1999
2603,Bizarro Lois Lane (New Earth),Public Identity,Neutral Characters,Black Eyes,Black Hair,Living Characters,8,"2007, October",2007
2604,Pyra (New Earth),Public Identity,Unknown or None,Black Eyes,Black Hair,Living Characters,8,"1996, September",1996
2605,Henry Cannon (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,8,"1984, April",1984
2606,Siren (New Earth),Secret Identity,Bad Characters,Black Eyes,Blond Hair,Living Characters,8,"1999, July",1999
2607,Rama Chandra (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,8,"1999, September",1999
2608,Procanon Kaa (New Earth),Secret Identity,Good Characters,Black Eyes,Unknown or None,Living Characters,8,"1988, May",1988
2609,Wandjina (New Earth),Secret Identity,Good Characters,Black Eyes,Unknown or None,Deceased Characters,8,"1971, February",1971
2610,Oom (New Earth),Secret Identity,Unknown or None,Black Eyes,Grey Hair,Living Characters,8,"1940, December",1940
2611,Ahk-Ton (New Earth),Unknown,Bad Characters,Black Eyes,Unknown or None,Living Characters,8,"1965, January",1965
2612,Vanguard (New Earth),Unknown,Good Characters,Black Eyes,White Hair,Living Characters,8,"2005, May",2005
2613,Henry Aquista (New Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,8,"2004, April",2004
2614,Ashiya (New Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,8,"1978, January",1978
2615,Steven Hazard (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Deceased Characters,8,"2007, October",2007
2616,Sally Stone (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,8,"1988, June",1988
2617,Mandra Darrow (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,8,"1994, April",1994
2618,Timothy Trench (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,8,"1969, February",1969
2619,Daniel Dennis (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,8,"1952, February",1952
2620,Austin Bowie (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,8,"1989, August",1989
2621,Phillip Hunter (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,8,"1966, April",1966
2622,Myron Mazursky (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,8,"1988, May",1988
2623,Lita Brand (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,8,"1968, April",1968
2624,Beautia Sivana (New Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,8,"1987, April",1987
2625,Tsaritsa (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,8,"2000, November",2000
2626,Ice Man (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,8,"1991, October",1991
2627,Abner Krill (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,8,"1962, February",1962
2628,Silver Monkey (New Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Deceased Characters,8,"1995, May",1995
2629,John Monroe (New Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Deceased Characters,8,"1985, August",1985
2630,Strega II (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Deceased Characters,8,"2006, July",2006
2631,Armando Ramone (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,8,"1984, December",1984
2632,Clay Stoner (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,8,"1978, September",1978
2633,Barbie (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,8,"1989, December",1989
2634,Carter Channel (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,8,1993,1993
2635,Bizarro II (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Deceased Characters,8,"1994, March",1994
2636,Emmylou Hartley (Earth-One),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,8,"1981, July",1981
2637,Rogga (New Earth),Secret Identity,Unknown or None,Blue Eyes,Unknown or None,Deceased Characters,8,"2007, January",2007
2638,Rio Ferdinand (New Earth),Unknown,Bad Characters,Blue Eyes,Black Hair,Living Characters,8,"2006, October",2006
2639,Stephen Forrest Lee (New Earth),Unknown,Bad Characters,Blue Eyes,Unknown or None,Deceased Characters,8,"1988, July",1988
2640,A.J. (New Earth),Unknown,Good Characters,Blue Eyes,Blond Hair,Living Characters,8,"1995, August",1995
2641,Sylvia Kandrey (New Earth),Unknown,Good Characters,Blue Eyes,Red Hair,Living Characters,8,"1988, November",1988
2642,Marnie Herrs (New Earth),Unknown,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,8,"1987, May",1987
2643,Wesley Sloan (New Earth),Unknown,Unknown or None,Blue Eyes,Blond Hair,Deceased Characters,8,"2001, December",2001
2644,Connie Noleski (New Earth),Unknown,Unknown or None,Blue Eyes,Blond Hair,Living Characters,8,1987,1987
2645,Linton Midnite (New Earth),Public Identity,Bad Characters,Brown Eyes,Unknown or None,Living Characters,8,"1988, January",1988
2646,Hoppy Greene (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,8,"1993, April",1993
2647,Rani (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,8,"2010, July",2010
2648,Carlotta Rivera (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,8,"1989, January",1989
2649,Mortimer Gunt (New Earth),Public Identity,Good Characters,Brown Eyes,Unknown or None,Living Characters,8,"1995, March",1995
2650,Shango (New Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,8,"1990, March",1990
2651,Agni (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,8,"1988, September",1988
2652,Anica Balcescu (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,8,"2008, September",2008
